	DO-01_S234	DO-101_S223	DO-102_S255	DO-105_S217	DO-107_S233	DO-10_S245	DO-110_S207	DO-113_S242	DO-114_S208	DO-115_S209	DO-116_S206	DO-11_S254	DO-12_S204	DO-13_S253	DO-14_S213	DO-152_S231	DO-152-star_S236	DO-153_S233	DO-154_S211	DO-154_S218	DO-156_S235	DO-157_S216	DO-158_S230	DO-159_S221	DO-15_S214	DO-15_S251	DO-161_S243	DO-162_S219	DO-16_S215	DO-17_S203	DO-18_S235	DO-19_S249	DO-200_S225	DO-202_S224	DO-203_S195	DO-206_S194	DO-209_S192	DO-20_S202	DO-211_S193	DO-21_S200	DO-23_S246	DO-28_S227	DO-2_S252	DO-30_S197	DO-31_S198	DO-35_S209	DO-35_S229	DO-37_S236	DO-39_S205	DO-3_S201	DO-44_S232	DO-46_S234	DO-47_S218	DO-48_S237	DO-49_S239	DO-50_S213	DO-51_S238	DO-53_S230	DO-54_S232	DO-55_S205	DO-55_S244	DO-58_S196	DO-59_S229	DO-5_S241	DO-60_S228	DO-61_S226	DO-63_S231	DO-68_S219	DO-69_S226	DO-6_S250	DO-70_S210	DO-71_S220	DO-72_S211	DO-73_S199	DO-74_S217	DO-77_S220	DO-78_S208	DO-79_S228	DO-7_S222	DO-81_S227	DO-83_S248	DO-84_S221	DO-85_S225	DO-86_S216	DO-87_S224	DO-88_S212	DO-8_S247	DO-93_S223	DO-98_S210	DO-98_S215	DO-99_S240	DO-a_S214	DO-ne-35_S212	DO-ne-45_S206	DO-np-35_S222	DO-np-45_S207	ASV
ASV_42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	976	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	3	0	0	0	54	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ASV_42
ASV_43	382	9	1	0	5	4	0	0	0	2	16	0	72	0	0	182	0	1	2	2	1	0	0	0	3	0	9	7	4	0	31	0	0	0	1	0	0	24	0	0	0	123	0	0	0	0	0	0	35	1	0	0	0	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	6	0	10	0	0	28	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	ASV_43
ASV_44	12	0	0	0	0	0	0	0	0	0	0	0	41	0	74	0	0	0	0	0	0	0	0	0	82	0	0	1	64	0	0	1	10	8	36	0	0	58	0	0	0	55	0	0	0	0	0	0	67	0	0	0	0	0	0	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	3	0	0	24	0	0	511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ASV_44
ASV_46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279	0	0	0	0	0	0	0	0	745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ASV_46
ASV_47	0	0	0	0	0	0	0	27	0	37	278	0	0	0	7	0	0	0	0	1	0	0	0	12	0	0	22	0	7	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	125	0	0	0	40	0	22	0	216	0	0	0	0	120	0	1	0	0	7	4	0	0	0	0	0	0	0	ASV_47
ASV_48	73	0	0	0	0	0	11	2	32	0	169	1	15	0	0	0	0	1	0	0	0	0	0	3	0	12	4	48	0	0	44	0	0	0	0	0	0	4	0	0	20	147	0	0	0	0	0	0	0	44	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	152	0	0	0	74	0	0	0	0	0	0	0	0	0	56	0	18	4	0	0	0	0	0	ASV_48
ASV_49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	229	0	0	0	0	0	0	0	0	16	0	0	0	15	0	0	0	0	3	1	3	0	0	0	0	0	191	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0	0	0	0	0	0	0	0	0	0	0	0	ASV_49
ASV_50	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	12	0	0	0	0	0	0	0	512	0	0	0	19	0	0	0	0	0	1	0	0	178	2	0	0	1	0	101	0	0	0	0	0	0	0	0	ASV_50
ASV_51	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	16	0	0	0	0	0	0	9	0	0	0	577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	48	0	0	0	0	0	17	0	0	0	0	0	0	0	ASV_51
ASV_53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ASV_53
ASV_54	0	21	1	0	0	4	28	10	19	1	68	5	28	3	0	0	0	6	0	5	5	0	0	12	0	13	5	19	0	68	0	20	0	0	0	0	0	9	0	15	15	0	5	22	16	0	9	8	47	9	0	3	0	0	0	11	37	7	2	0	9	49	0	0	6	4	1	0	0	14	3	0	51	55	0	35	0	0	17	11	18	0	0	0	0	0	10	0	0	38	1	7	0	0	0	0	ASV_54
ASV_55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	277	0	2	0	0	0	0	0	7	0	0	0	0	0	0	0	0	25	0	55	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ASV_55
ASV_56	3	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	177	23	1	0	0	0	0	0	0	0	0	0	3	0	0	0	17	0	0	0	2	1	0	86	0	0	1	0	1	0	3	0	2	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	4	0	163	3	1	0	0	268	0	0	0	35	0	4	0	0	17	0	0	0	0	ASV_56
ASV_57	35	0	0	0	0	0	0	0	4	0	0	0	17	4	0	19	48	17	0	0	0	0	0	0	0	3	0	0	0	0	27	0	0	0	0	0	0	6	0	16	0	220	0	0	3	0	5	53	0	84	0	10	0	0	0	0	0	0	22	0	0	3	41	0	0	0	0	0	24	0	0	0	0	0	0	0	0	104	0	0	0	0	89	0	0	0	0	5	0	0	0	0	0	0	0	0	ASV_57
ASV_59	0	4	0	0	0	16	0	0	68	0	79	0	16	0	0	0	0	0	0	0	5	0	0	19	0	0	7	0	0	161	0	130	0	0	0	0	0	3	1	0	61	0	6	24	4	0	0	0	79	0	0	0	0	0	0	0	6	0	0	0	4	4	0	0	1	7	0	0	0	0	10	0	20	46	0	0	0	0	0	0	17	0	0	0	0	4	0	0	0	19	7	6	0	0	0	0	ASV_59
