	domain	phylum	class	order	family	genus	species	ASV
ASV_1919	Bacteria	Patescibacteria	Microgenomatia	Candidatus Chisholmbacteria	Candidatus Chisholmbacteria	Candidatus Chisholmbacteria	Candidatus Chisholmbacteria	ASV_1919
ASV_1920	Bacteria	Firmicutes	Bacilli	unclassified_Bacilli	unclassified_Bacilli	unclassified_Bacilli	unclassified_Bacilli	ASV_1920
ASV_1921	Bacteria	Chloroflexi	Dehalococcoidia	unclassified_Dehalococcoidia	unclassified_Dehalococcoidia	unclassified_Dehalococcoidia	unclassified_Dehalococcoidia	ASV_1921
ASV_1922	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Methylacidiphilales	Methylacidiphilaceae	uncultured	uncultured	ASV_1922
ASV_1923	Bacteria	Zixibacteria	Zixibacteria	Zixibacteria	Zixibacteria	Zixibacteria	Zixibacteria	ASV_1923
ASV_1924	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_1924
ASV_1925	Bacteria	BHI80-139	BHI80-139	BHI80-139	BHI80-139	BHI80-139	BHI80-139	ASV_1925
ASV_1926	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales_1	Rhizobiaceae_1	unclassified_Rhizobiaceae_1	unclassified_Rhizobiaceae_1	ASV_1926
ASV_1927	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus Omnitrophus	Candidatus Omnitrophus	ASV_1927
ASV_1928	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexaceae	Chloroflexus	Chloroflexus	ASV_1928
ASV_1930	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_1930
ASV_1931	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	Aminicenantales	Aminicenantales	Aminicenantales	ASV_1931
ASV_1932	Archaea	Halobacterota	Methanosarcinia	Methanosarciniales	ANME-2a-2b	ANME-2b	ANME-2b	ASV_1932
ASV_1933	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_1933
ASV_1934	Bacteria	Planctomycetota	SPG12-343-353-B69	SPG12-343-353-B69	SPG12-343-353-B69	SPG12-343-353-B69	SPG12-343-353-B69	ASV_1934
ASV_1935	Bacteria	Chloroflexi	Dehalococcoidia	Sh765B-AG-111	Sh765B-AG-111	Sh765B-AG-111	Sh765B-AG-111	ASV_1935
ASV_1936	Bacteria	WS1	WS1	WS1	WS1	WS1	WS1	ASV_1936
ASV_1937	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	ASV_1937
ASV_1938	Bacteria	Chloroflexi	Dehalococcoidia	unclassified_Dehalococcoidia	unclassified_Dehalococcoidia	unclassified_Dehalococcoidia	unclassified_Dehalococcoidia	ASV_1938
ASV_1939	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_1939
ASV_1941	Bacteria	Patescibacteria	Parcubacteria	GWA2-38-13b	GWA2-38-13b	GWA2-38-13b	GWA2-38-13b	ASV_1941
ASV_1942	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methyloligellaceae	unclassified_Methyloligellaceae	unclassified_Methyloligellaceae	ASV_1942
ASV_1943	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales_5	Hyphomicrobiaceae	unclassified_Hyphomicrobiaceae	unclassified_Hyphomicrobiaceae	ASV_1943
ASV_1944	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_1944
ASV_1945	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	AKAU3564 sediment group	AKAU3564 sediment group	AKAU3564 sediment group	ASV_1945
ASV_1946	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	Aminicenantales	Aminicenantales	Aminicenantales	ASV_1946
ASV_1947	Bacteria	Chloroflexi	Dehalococcoidia	GIF3	GIF3	GIF3	GIF3	ASV_1947
ASV_1948	Bacteria	Desulfobacterota_1	Desulfobacteria_1	Desulfobacterales	Desulfosarcinaceae	SEEP-SRB1	SEEP-SRB1	ASV_1948
ASV_1949	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Thermomonosporaceae_2	Actinoallomurus	Actinoallomurus	ASV_1949
ASV_1950	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas_5	Sphingomonas_5	ASV_1950
ASV_1951	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales_2	Bacteroidetes BD2-2	Bacteroidetes BD2-2	Bacteroidetes BD2-2	ASV_1951
ASV_1952	Bacteria	Gemmatimonadota	PAUC43f marine benthic group	PAUC43f marine benthic group	PAUC43f marine benthic group	PAUC43f marine benthic group	PAUC43f marine benthic group	ASV_1952
ASV_1953	Bacteria	Bacteroidota	Bacteroidia	Cytophagales_1	Cyclobacteriaceae_1	uncultured	uncultured	ASV_1953
ASV_1954	Bacteria	Actinobacteriota	Acidimicrobiia	Actinomarinales	uncultured	uncultured	uncultured	ASV_1954
ASV_1955	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis_Unknown Family	uncultured	uncultured	uncultured	ASV_1955
ASV_1956	Bacteria	NB1-j	NB1-j	NB1-j	NB1-j	NB1-j	NB1-j	ASV_1956
ASV_1957	Bacteria	Dadabacteria	Dadabacteriia	Dadabacteriales	Dadabacteriales	Dadabacteriales	Dadabacteriales	ASV_1957
ASV_1958	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_1958
ASV_1959	Bacteria	Gemmatimonadota	MD2902-B12	MD2902-B12	MD2902-B12	MD2902-B12	MD2902-B12	ASV_1959
ASV_1960	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	Pir4 lineage	ASV_1960
ASV_1961	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	ASV_1961
ASV_1962	Bacteria	Chloroflexi	Dehalococcoidia	Sh765B-AG-111	Sh765B-AG-111	Sh765B-AG-111	Sh765B-AG-111	ASV_1962
ASV_1963	Bacteria	Chloroflexi	Dehalococcoidia	unclassified_Dehalococcoidia	unclassified_Dehalococcoidia	unclassified_Dehalococcoidia	unclassified_Dehalococcoidia	ASV_1963
ASV_1964	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured	uncultured	ASV_1964
ASV_1965	Bacteria	Actinobacteriota	Acidimicrobiia	Actinomarinales	uncultured	uncultured	uncultured	ASV_1965
ASV_1966	Bacteria	BHI80-139	BHI80-139	BHI80-139	BHI80-139	BHI80-139	BHI80-139	ASV_1966
ASV_1968	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae_1	unclassified_Burkholderiaceae_1	unclassified_Burkholderiaceae_1	ASV_1968
ASV_1969	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_1969
ASV_1970	Archaea	Crenarchaeota	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	ASV_1970
ASV_1971	Bacteria	Actinobacteriota	Actinobacteria	unclassified_Actinobacteria	unclassified_Actinobacteria	unclassified_Actinobacteria	unclassified_Actinobacteria	ASV_1971
ASV_1972	Bacteria	Chloroflexi	Dehalococcoidia	GIF3	GIF3	GIF3	GIF3	ASV_1972
ASV_1973	Bacteria	Chloroflexi	Dehalococcoidia	FW22	FW22	FW22	FW22	ASV_1973
ASV_1974	Bacteria	Latescibacterota	Latescibacteria	Latescibacterales	Latescibacteraceae	Latescibacteraceae	Latescibacteraceae	ASV_1974
ASV_1975	Bacteria	Armatimonadota	uncultured	uncultured	uncultured	uncultured	uncultured	ASV_1975
ASV_1976	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales_2	Geitlerinemaceae	Geitlerinema PCC-7105	Geitlerinema PCC-7105	ASV_1976
ASV_1979	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	uncultured	uncultured	ASV_1979
ASV_1980	Bacteria	BHI80-139	BHI80-139	BHI80-139	BHI80-139	BHI80-139	BHI80-139	ASV_1980
ASV_1981	Bacteria	Chloroflexi	Dehalococcoidia	MSBL5	MSBL5	MSBL5	MSBL5	ASV_1981
ASV_1982	Bacteria	Acidobacteriota	Subgroup 26	Subgroup 26	Subgroup 26	Subgroup 26	Subgroup 26	ASV_1982
