Sample_conc_ppb,Sample_conc_ppb_undil,Sample_conc_uM,Concentration_units,Analyte,Station,Core,Real_depth_cm
583.8223582,54.84752643,10.45527146,uM,Iron,SCB01,MC01,20
277.6616041,24.90062834,4.97244993,uM,Iron,SCB01,MC01,27
376.3610463,34.02094184,6.739990084,uM,Iron,SCB01,MC01,31
887.2025211,87.72739105,15.8882973,uM,Iron,SCB01,MC01,36
2473.211236,256.2311255,45.01658603,uM,Manganese,SCB01,MC01,2
4851.449897,479.4031802,88.30451214,uM,Manganese,SCB01,MC01,3
5360.23097,384.7783576,97.56517966,uM,Manganese,SCB01,MC01,4
5700.204135,540.6236967,103.7532606,uM,Manganese,SCB01,MC01,8
5817.575372,560.8973995,105.8896136,uM,Manganese,SCB01,MC01,12
5871.962788,580.7823583,106.8795557,uM,Manganese,SCB01,MC01,15
5967.631693,542.7438505,108.6208899,uM,Manganese,SCB01,MC01,18
4147.673669,389.6555827,75.49460628,uM,Manganese,SCB01,MC01,20
3861.042693,252.5811938,70.27744254,uM,Manganese,SCB01,MC01,23
3612.101317,323.9324095,65.74629263,uM,Manganese,SCB01,MC01,27
2947.460564,266.4340145,53.64871796,uM,Manganese,SCB01,MC01,31
2107.922426,208.4332839,38.36771799,uM,Manganese,SCB01,MC01,36
