,Date,Type,runno,Sample_Name,Number,Det.,Ion,Measurement,Core,Depth_cm,Real_depth_cm,Real_conc_ppb,Dilfac,Standard_group,U_spike_mass,Sample_mass,Total_mass,Conc_spike,U238_to_U236_mean,U238_to_U236_stdev,U238_to_U236_sterr,U238_to_U236_stderr,U238_to_U236_stderr_over_mean,Sample_conc_ppb,Sample_conc_ppb_undil,Sample_conc_uM
2978,6042022,Sample,51,83,67953.50582,,Mn55,CPS,GC04,40.0,46.0,,10.46128003,,,,,,,,,,,196.69773784009087,18.802454123780002,3.580228209684945
2509,5202022,Sample,59,38,184239.6913,,Mn55,CPS,GC02,45.0,48.5,,10.66869555,,,,,,,,,,,1037.543452115709,97.2512006977,18.885028251105005
2489,5202022,Sample,39,73,35158.19129,,Mn55,CPS,GC04,45.0,51.0,,10.5958694,,,,,,,,,,,194.82717453718902,18.38708719241,3.54618082521276
2512,5202022,Sample,62,24,212085.6586,,Mn55,CPS,GC02,48.0,51.5,,10.66291859,,,,,,,,,,,1194.0519361981885,111.98171739939998,21.733744743323417
2309,5142022,Sample,46,29b,528801.5419,,Mn55,CPS,GC02,51.0,54.5,,10.37878896,,,,,,,,,,,1604.9213404056757,154.6347407767,29.212255922928207
2341,5142022,Sample,78,29,532133.1468,,Mn55,CPS,GC02,51.0,54.5,,10.15073318,,,,,,,,,,,1579.5647360762644,155.6109010124,28.75072326312822
2948,6042022,Sample,18,62,44460.51554,,Mn55,CPS,GC04,50.0,56.0,,10.54989166,,,,,,,,,,,129.21412182766142,12.24790983566,2.351913393295621
2484,5202022,Sample,32,97,54694.36184,,Mn55,CPS,GC06,50.0,56.0,,10.54492211,,,,,,,,,,,302.8683151690003,28.721721413359997,5.512710505442307
604,5022022,Sample,45,GC28,546996.99,,Mn55,CPS,GC02,54.0,57.5,,10.0956967,,,,,,,,,,,1343.2548138596514,133.05221559,24.449486965046443
601,5022022,Sample,42,GC20,563004.268,,Mn55,CPS,GC02,57.0,60.5,,10.11343762,,,,,,,,,,,1384.6304369843351,136.90996958800002,25.20259259163333
2475,5202022,Sample,23,68,43120.20674,,Mn55,CPS,GC04,55.0,61.0,,10.44929333,,,,,,,,,,,236.14351063841542,22.59899336546,4.298207328693401
2953,6042022,Sample,23,90,102814.0128,,Mn55,CPS,GC06,55.0,61.0,,10.52655792,,,,,,,,,,,300.30728206301706,28.5285355712,5.466095414325029
2328,5142022,Sample,65,90,96272.40102,,Mn55,CPS,GC06,55.0,61.0,,10.03077402,,,,,,,,,,,279.895734087374,27.903702498860003,5.094571060927813
