br correction factor,ID,meas_conc,br_corr,real_conc,Concentration_units,Ion,Depth_cm,Station,Core,Real_depth_cm,
,CR3-2-62,,,3.41,uM,Nitrate,,CR03,GC04,17.2,BC
1.073783133,c,0.3816,0.355379022,3.553790223,uM,Nitrate,15,CR03,GC04,21,Caltech
,CR3-2-26,,,3.96,uM,Nitrate,,CR03,GC04,26.18,BC
0.742746988,e,0.2519,0.339146444,3.391464443,uM,Nitrate,25,CR03,GC04,31,Caltech
0.986722892,60,0,0,0,uM,Nitrate,30,CR03,GC04,36,Caltech
0.857084337,64,0,0,0,uM,Nitrate,35,CR03,GC04,41,Caltech
0.932337349,83,0.4423,0.474399101,4.743991008,uM,Nitrate,40,CR03,GC04,46,Caltech
0.856457831,73,0.1622,0.189384689,1.89384689,uM,Nitrate,45,CR03,GC04,51,Caltech
0.82113253,62,0,0,0,uM,Nitrate,50,CR03,GC04,56,Caltech
0.956795181,68,0,0,0,uM,Nitrate,55,CR03,GC04,61,Caltech
0.707156627,81,0,0,0,uM,Nitrate,60,CR03,GC04,66,Caltech
0.96086747,78,0,0,0,uM,Nitrate,65,CR03,GC04,71,Caltech
0.960192771,76,0,0,0,uM,Nitrate,70,CR03,GC04,76,Caltech
0.826650602,77,0,0,0,uM,Nitrate,80,CR03,GC04,86,Caltech
0.965879518,61,0,0,0,uM,Nitrate,85,CR03,GC04,91,Caltech
0.937445783,f,0,0,0,uM,Nitrate,90,CR03,GC04,96,Caltech
0.907204819,53,0,0,0,uM,Nitrate,95,CR03,GC04,101,Caltech
0.877445783,58,0,0,0,uM,Nitrate,100,CR03,GC04,106,Caltech
0.970795181,71,0.3638,0.374744341,3.747443406,uM,Nitrate,110,CR03,GC04,116,Caltech
0.981759036,72,0.0954,0.09717252,0.971725204,uM,Nitrate,115,CR03,GC04,121,Caltech
0.972578313,80,0.3882,0.399145236,3.991452357,uM,Nitrate,120,CR03,GC04,126,Caltech
1.001204819,65,0.5213,0.520672684,5.206726837,uM,Nitrate,130,CR03,GC04,136,Caltech
1.060192771,75,0.2867,0.270422519,2.704225192,uM,Nitrate,135,CR03,GC04,141,Caltech
0.969277108,74,0.4329,0.446621504,4.466215042,uM,Nitrate,140,CR03,GC04,146,Caltech
0.923108434,56,0.3925,0.425193819,4.251938186,uM,Nitrate,150,CR03,GC04,156,Caltech
0.944361446,66,0.2927,0.309944885,3.099448852,uM,Nitrate,155,CR03,GC04,161,Caltech
0.973325301,54,0.5468,0.561785458,5.61785458,uM,Nitrate,160,CR03,GC04,166,Caltech
0.96260241,57,0,0,0,uM,Nitrate,170,CR03,GC04,176,Caltech
1.099156627,59,0.3103,0.282307355,2.823073549,uM,Nitrate,175,CR03,GC04,181,Caltech
0.900746988,55,0,0,0,uM,Nitrate,180,CR03,GC04,186,Caltech
0.768843373,84,0,0,0,uM,Nitrate,195,CR03,GC04,201,Caltech
,CR5-1-56,,,42.95,uM,Nitrate,,CR04.5,GC06,5.32,BC
,CR5-1-57,,,44.24,uM,Nitrate,,CR04.5,GC06,7.32,BC
,CR5-1-22,,,22.27,uM,Nitrate,,CR04.5,GC06,10.46,BC
0.808409639,109,1.8048,2.23253152,22.3253152,uM,Nitrate,5,CR04.5,GC06,11,Caltech
0.925253012,103,0.9438,1.020045315,10.20045315,uM,Nitrate,10,CR04.5,GC06,16,Caltech
,CR5-1-61,,,8.03,uM,Nitrate,,CR04.5,GC06,17.32,BC
0.923518072,126,0.6408,0.693868392,6.938683924,uM,Nitrate,15,CR04.5,GC06,21,Caltech
,CR5-1-07,,,7.34,uM,Nitrate,,CR04.5,GC06,24.44,BC
0.916024096,123,0.6036,0.658934631,6.589346313,uM,Nitrate,20,CR04.5,GC06,26,Caltech
,CR5-1-08,,,5.93,uM,Nitrate,,CR04.5,GC06,29.44,BC
0.800554217,113,0,0,0,uM,Nitrate,25,CR04.5,GC06,31,Caltech
,CR5-1-09,,,5.07,uM,Nitrate,,CR04.5,GC06,34.44,BC
0.904289157,89,0,0,0,uM,Nitrate,30,CR04.5,GC06,36,Caltech
0.929228916,125,0.1939,0.208667635,2.086676347,uM,Nitrate,35,CR04.5,GC06,41,Caltech
0.951277108,117,0,0,0,uM,Nitrate,40,CR04.5,GC06,46,Caltech
0.732144578,107,0,0,0,uM,Nitrate,45,CR04.5,GC06,51,Caltech
0.903807229,97,0,0,0,uM,Nitrate,50,CR04.5,GC06,56,Caltech
0.940795181,90,0.1751,0.186119151,1.861191506,uM,Nitrate,55,CR04.5,GC06,61,Caltech
0.650120482,119,0,0,0,uM,Nitrate,65,CR04.5,GC06,71,Caltech
0.80139759,111,0,0,0,uM,Nitrate,70,CR04.5,GC06,76,Caltech
0.676746988,102,0,0,0,uM,Nitrate,75,CR04.5,GC06,81,Caltech
0.949831325,112,0,0,0,uM,Nitrate,80,CR04.5,GC06,86,Caltech
0.937951807,118,0.1421,0.151500321,1.515003212,uM,Nitrate,85,CR04.5,GC06,91,Caltech
0.920120482,108,0,0,0,uM,Nitrate,90,CR04.5,GC06,96,Caltech
