Identifier,Peak_Nr,Width,Area_All,Area_44,Ampl_44,Area_45,Ampl_45,Area_46,Ampl_46,d13C,Type,Core,Real_depth_cm,Weigh_EA_mg,Amount_ug,Date,Weigh_sample_before_decarb_mg,Weigh_sample_after_decarb_mg
MetA,4,23.2,78.087,76.861,3981,0.898,4651,0.328,5654,-11.988,standard,,,,,20230126,,
GluTIS,1,23.2,78.319,77.089,3981,0.901,4653,0.329,5659,-12.038,standard,,,,,20230126,,
GluTIS,2,23.2,77.825,76.603,3980,0.895,4652,0.327,5657,-12.04,standard,,,,,20230126,,
GluTIS,3,94,53.866,53.021,1718,0.62,2010,0.225,2413,-11.303,standard,,,,,20230126,,
GluTIS,4,23.2,77.705,76.485,3981,0.894,4653,0.326,5659,-11.956,standard,,,,,20230126,,
GluTIS,1,23.2,77.978,76.755,3980,0.897,4650,0.327,5653,-12.018,standard,,,,,20230126,,
GluTIS,2,23.2,78.277,77.048,3980,0.9,4649,0.328,5655,-12.04,standard,,,,,20230126,,
GluTIS,3,85.3,21.069,20.739,673,0.242,785,0.088,945,-12.356,standard,,,,,20230126,,
GluTIS,4,23.2,77.969,76.745,3972,0.897,4640,0.327,5643,-11.906,standard,,,,,20230126,,
CR03_51,1,23.2,78.078,76.855,3981,0.896,4644,0.327,5652,-12.036,sample,CR03,51,1.122,,20230126,70,30
CR03_51,2,23.2,78.077,76.853,3981,0.896,4642,0.327,5650,-12.04,sample,CR03,51,1.122,,20230126,70,30
CR03_51,3,109.1,209.935,206.671,6641,2.39,7716,0.874,9328,-20.637,sample,CR03,51,1.122,,20230126,70,30
CR03_51,4,23.2,78.068,76.844,3981,0.896,4644,0.327,5652,-11.893,sample,CR03,51,1.122,,20230126,70,30
CR03_56,1,23.4,78.35,77.122,3981,0.9,4643,0.329,5651,-11.996,sample,CR03,56,1.246,,20230126,50,25
CR03_56,2,23.2,78.154,76.929,3980,0.897,4642,0.328,5651,-12.04,sample,CR03,56,1.246,,20230126,50,25
CR03_56,3,109.3,244.233,240.435,7758,2.781,9022,1.017,10894,-20.528,sample,CR03,56,1.246,,20230126,50,25
CR03_56,4,23.2,77.81,76.591,3980,0.893,4643,0.326,5650,-11.922,sample,CR03,56,1.246,,20230126,50,25
CR03_61,1,23.2,78.064,76.839,3984,0.898,4654,0.328,5659,-12.013,sample,CR03,61,1.314,,20230126,110,90
CR03_61,2,23.2,78.065,76.839,3981,0.898,4650,0.328,5654,-12.04,sample,CR03,61,1.314,,20230126,110,90
CR03_61,3,103.5,151.805,149.441,4858,1.732,5646,0.633,6825,-20.424,sample,CR03,61,1.314,,20230126,110,90
CR03_61,4,23.2,77.923,76.7,3981,0.896,4651,0.327,5655,-11.91,sample,CR03,61,1.314,,20230126,110,90
CR03_76,1,23.2,78.119,76.893,3979,0.898,4650,0.328,5655,-11.994,sample,CR03,76,1.323,,20230126,50,40
CR03_76,2,23.2,77.862,76.64,3982,0.895,4652,0.327,5657,-12.04,sample,CR03,76,1.323,,20230126,50,40
CR03_76,3,106.4,188.452,185.518,6001,2.148,6976,0.785,8433,-21.3,sample,CR03,76,1.323,,20230126,50,40
CR03_76,4,23,78.01,76.785,3987,0.897,4658,0.327,5665,-11.952,sample,CR03,76,1.323,,20230126,50,40
CR03_86,1,23,78.219,76.992,3988,0.898,4652,0.328,5662,-11.941,sample,CR03,86,1.373,,20230126,50,46
CR03_86,2,23.2,78.235,77.009,3989,0.898,4653,0.328,5663,-12.04,sample,CR03,86,1.373,,20230126,50,46
CR03_86,3,105.3,157.515,155.066,4978,1.793,5774,0.656,6990,-21.253,sample,CR03,86,1.373,,20230126,50,46
CR03_86,4,23,78.208,76.982,3992,0.898,4657,0.328,5669,-11.999,sample,CR03,86,1.373,,20230126,50,46
CR03_101,1,23.2,78.299,77.07,3990,0.9,4661,0.329,5669,-12.005,sample,CR03,101,0.8,,20230126,70,70
CR03_101,2,23.2,78.477,77.246,3990,0.902,4661,0.329,5669,-12.04,sample,CR03,101,0.8,,20230126,70,70
CR03_101,3,94,49.656,48.883,1567,0.565,1813,0.207,2202,-22.284,sample,CR03,101,0.8,,20230126,70,70
CR03_101,4,23.2,78.067,76.841,3986,0.898,4657,0.328,5662,-11.979,sample,CR03,101,0.8,,20230126,70,70
